IncidentNumber,DateOfCall,TimeOfCall,CallType,CallSeverity,Address,Community,RuralLocation,Directions,WaterSource,DispatchedTime,RespondedTime,ArrivedTime,ReturnedTime,Apparatus,Personnel,Position,Driver,Officer,IncidentDescription,ActionsTaken,PropertyType,PropertyValue,AccessIssues,WaterShuttleRequired,MutualAidReceived,MutualAidGiven,FireCause,AreaOfOrigin,ExtinguishMethod,SmokeDetectorPerformance,NFIRS_StatusCode,NFIRS_IncidentType,NFIRS_AidGivenReceived
AR001,2023-01-01,08:15:00,Structure Fire,High,123 Main St,Cityville,No,From Station 3: East on Main 2 miles,Hydrant at Main & Oak,08:15:23,08:17:45,08:23:12,10:25:30,Engine 15,"Smith J, Johnson S, Brown M",Captain/Driver/Firefighter,Johnson S,Smith J,Two-story residential structure fire with smoke showing from second floor,Extinguishment using attack lines; Search and Rescue,Residential,165000,None,No,No,No,Cooking,Kitchen,Water,Present and activated,1,111,N
AR002,2023-01-01,10:30:45,Medical,Medium,456 Oak Ave,Cityville,No,Corner house with white picket fence,N/A,10:30:51,10:32:33,10:38:17,11:20:15,Medic 22,"Johnson S, Davis R",Paramedic/EMT,Davis R,Johnson S,Patient experiencing chest pain,Provided basic life support; Oxygen therapy; Transport,Residential,250000,None,No,No,No,N/A,N/A,N/A,N/A,1,321,N
AR003,2023-01-01,14:20:12,Gas Leak,High,789 Elm St,Cityville,No,Large retail building with green awning,Hydrant at Elm & Pine,14:20:20,14:22:41,14:29:55,16:00:05,Engine 17,"Brown M, Wilson L, Taylor K",Lieutenant/Driver/Firefighter,Wilson L,Brown M,Natural gas leak in commercial building,Evacuated occupants; Ventilated structure; Shut off gas supply,Commercial,500000,None,No,No,No,N/A,Utility room,N/A,N/A,1,412,N
AR004,2023-01-02,07:45:30,Alarm Activation,Low,101 School Rd,Townsville,No,Elementary school main entrance,Hydrant at School Rd entrance,07:45:38,07:48:12,07:54:40,08:45:22,Ladder 19,"Davis R, Martinez E",Firefighter/Firefighter,Davis R,Martinez E,Fire alarm activation in school building,Investigated; Reset alarm system; Determined false alarm,Educational,2000000,None,No,No,No,N/A,N/A,N/A,Present but activated due to malfunction,1,745,N
AR005,2023-01-02,13:15:22,Structure Fire,High,202 Market St,Townsville,No,Corner of Market & Shop,Hydrants on Market St,13:15:30,13:18:05,13:24:55,16:50:15,Engine 20,"Wilson L, Taylor K, Johnson S",Captain/Driver/Firefighter,Taylor K,Wilson L,Commercial building with fire showing from rear storage area,Offensive attack; Ventilation; Salvage and overhaul,Commercial,750000,Locked rear access,No,Yes,No,Electrical,Storage room,Water,Present but did not activate,1,111,3
AR006,2023-01-02,18:30:05,Canceled,Low,303 Pine St,Townsville,No,Two-story house with red trim,Hydrant at Pine & Cedar,18:30:15,18:32:40,,18:45:33,Engine 18,"Taylor K, White D",Lieutenant/Driver,White D,Taylor K,Canceled en route by dispatch,None,Residential,325000,None,No,No,No,N/A,N/A,N/A,N/A,3,611,N
AR007,2023-01-03,09:45:18,Medical,High,404 Cedar Ave,Cityville,No,Cedar Hotel - main entrance,N/A,09:45:25,09:47:50,09:53:33,10:50:10,Medic 23,"Martinez E, Brown J",Paramedic/EMT,Brown J,Martinez E,Patient in respiratory distress,Provided advanced life support; Administered medication; Transport,Commercial,1500000,None,No,No,No,N/A,N/A,N/A,N/A,1,322,N
AR008,2023-01-03,15:20:40,Vehicle Accident,High,I-10 Eastbound Mile 142,Cityville,Yes,Mile marker 142 eastbound lanes,None - Tanker response,15:20:52,15:22:30,15:33:45,17:45:30,Engine 21,"White D, Johnson T, Martinez E",Firefighter/Driver/Firefighter,Johnson T,White D,Single vehicle rollover with entrapment,Extrication; Vehicle stabilization; Patient care,Highway,N/A,Difficult access from westbound lanes,No,No,No,N/A,N/A,N/A,N/A,1,531,N
AR009,2023-01-04,03:15:33,Structure Fire,Medium,505 Maple Rd,Townsville,No,Apartment 303 - third floor,Hydrant at Maple & Walnut,03:15:40,03:18:22,03:25:15,04:30:22,Engine 16,"Brown J, Smith T, Wilson L",Captain/Driver/Firefighter,Smith T,Brown J,Cooking fire in apartment kitchen,Extinguishment; Ventilation; Smoke removal,Residential,800000,None,No,No,No,Cooking,Kitchen,Water,Present and activated,1,113,N
AR010,2023-01-04,11:45:55,Water Issue,Low,606 Walnut St,Townsville,No,Office building - main entrance,Hydrant at corner,11:46:05,11:48:30,11:55:20,13:25:05,Engine 19,"Johnson T, Davis R",Lieutenant/Driver,Davis R,Johnson T,Broken water pipe in commercial building,Water removal; Salvage operations; Shut off water supply,Commercial,1200000,None,No,No,No,N/A,Bathroom,N/A,N/A,1,554,N
